date,14ACN
1/1/2008,5.86
1/2/2008,5.94
1/3/2008,6.03
1/4/2008,6.12
1/5/2008,6.21
1/6/2008,6.29
1/7/2008,6.38
1/8/2008,6.47
1/9/2008,6.55
1/10/2008,6.64
1/11/2008,6.73
1/12/2008,6.82
1/13/2008,6.9
1/14/2008,6.99
1/15/2008,7.08
1/16/2008,7.16
1/17/2008,7.25
1/18/2008,7.34
1/19/2008,7.43
1/20/2008,7.51
1/21/2008,7.6
1/22/2008,7.69
1/23/2008,7.77
1/24/2008,7.86
1/25/2008,7.95
1/26/2008,8.03
1/27/2008,8.12
1/28/2008,8.21
1/29/2008,8.3
1/30/2008,8.38
1/31/2008,8.47
2/1/2008,8.56
2/2/2008,8.64
2/3/2008,8.73
2/4/2008,8.82
2/5/2008,8.91
2/6/2008,8.99
2/7/2008,9.08
2/8/2008,9.17
2/9/2008,9.25
2/10/2008,9.34
2/11/2008,9.43
2/12/2008,9.51
2/13/2008,9.6
2/14/2008,9.69
2/15/2008,9.78
2/16/2008,9.86
2/17/2008,9.95
2/18/2008,10.04
2/19/2008,10.12
2/20/2008,10.21
2/21/2008,10.3
2/22/2008,10.39
2/23/2008,10.47
2/24/2008,10.56
2/25/2008,10.65
2/26/2008,10.73
2/27/2008,10.82
2/28/2008,10.91
2/29/2008,10.99
3/1/2008,11.08
3/2/2008,11.17
3/3/2008,11.26
3/4/2008,11.34
3/5/2008,11.43
3/6/2008,11.52
3/7/2008,11.6
3/8/2008,11.69
3/9/2008,11.78
3/10/2008,11.87
3/11/2008,11.95
3/12/2008,12.04
3/13/2008,12.13
3/14/2008,12.21
3/15/2008,12.3
3/16/2008,12.39
3/17/2008,12.47
3/18/2008,12.56
3/19/2008,12.65
3/20/2008,12.74
3/21/2008,12.82
3/22/2008,22.92
3/23/2008,13.21
3/24/2008,13.51
3/25/2008,13.81
3/26/2008,14.11
3/27/2008,14.41
3/28/2008,14.71
3/29/2008,15.01
3/30/2008,15.31
3/31/2008,15.61
4/1/2008,15.91
4/2/2008,16.21
4/3/2008,16.51
4/4/2008,16.81
4/5/2008,17.11
4/6/2008,17.41
4/7/2008,17.71
4/8/2008,18.01
4/9/2008,18.31
4/10/2008,18.61
4/11/2008,18.91
4/12/2008,19.21
4/13/2008,19.51
4/14/2008,19.81
4/15/2008,20.11
4/16/2008,20.41
4/17/2008,20.71
4/18/2008,21.01
4/19/2008,21.31
4/20/2008,21.61
4/21/2008,21.91
4/22/2008,22.21
4/23/2008,22.51
4/24/2008,22.81
4/25/2008,23.11
4/26/2008,23.41
4/27/2008,23.71
4/28/2008,24.01
4/29/2008,24.31
4/30/2008,24.61
5/1/2008,24.91
5/2/2008,25.21
5/3/2008,25.51
5/4/2008,25.81
5/5/2008,26.11
5/6/2008,26.41
5/7/2008,26.71
5/8/2008,27.01
5/9/2008,27.31
5/10/2008,27.61
5/11/2008,27.91
5/12/2008,28.21
5/13/2008,28.51
5/14/2008,28.81
5/15/2008,29.11
5/16/2008,29.41
5/17/2008,29.71
5/18/2008,30.01
5/19/2008,30.31
5/20/2008,30.61
5/21/2008,30.91
5/22/2008,31.21
5/23/2008,31.51
5/24/2008,31.81
5/25/2008,32.11
5/26/2008,32.41
5/27/2008,32.71
5/28/2008,33.01
5/29/2008,33.31
5/30/2008,33.61
5/31/2008,9.62
6/1/2008,33.35
6/2/2008,32.78
6/3/2008,32.22
6/4/2008,31.65
6/5/2008,31.09
6/6/2008,30.53
6/7/2008,29.96
6/8/2008,29.4
6/9/2008,28.84
6/10/2008,28.27
6/11/2008,27.71
6/12/2008,27.14
6/13/2008,26.58
6/14/2008,26.02
6/15/2008,25.45
6/16/2008,24.89
6/17/2008,24.32
6/18/2008,23.76
6/19/2008,23.2
6/20/2008,22.63
6/21/2008,22.07
6/22/2008,21.51
6/23/2008,20.94
6/24/2008,20.38
6/25/2008,19.81
6/26/2008,19.25
6/27/2008,18.69
6/28/2008,18.12
6/29/2008,17.56
6/30/2008,17
7/1/2008,16.43
7/2/2008,15.87
7/3/2008,15.3
7/4/2008,14.74
7/5/2008,14.18
7/6/2008,13.61
7/7/2008,13.05
7/8/2008,12.48
7/9/2008,11.92
7/10/2008,11.36
7/11/2008,10.79
7/12/2008,10.23
7/13/2008,9.67
7/14/2008,9.1
7/15/2008,8.54
7/16/2008,7.97
7/17/2008,50.46
7/18/2008,8.74
7/19/2008,10.07
7/20/2008,11.4
7/21/2008,12.73
7/22/2008,14.06
7/23/2008,15.39
7/24/2008,16.72
7/25/2008,18.06
7/26/2008,19.39
7/27/2008,20.72
7/28/2008,22.05
7/29/2008,23.38
7/30/2008,24.71
7/31/2008,26.04
8/1/2008,27.37
8/2/2008,28.7
8/3/2008,30.03
8/4/2008,31.36
8/5/2008,32.69
8/6/2008,34.02
8/7/2008,35.35
8/8/2008,36.69
8/9/2008,38.02
8/10/2008,39.35
8/11/2008,40.68
8/12/2008,42.01
8/13/2008,43.34
8/14/2008,44.67
8/15/2008,46
8/16/2008,47.33
8/17/2008,48.66
8/18/2008,49.99
8/19/2008,51.32
8/20/2008,52.65
8/21/2008,53.98
8/22/2008,55.31
8/23/2008,56.65
8/24/2008,57.98
8/25/2008,59.31
8/26/2008,60.64
8/27/2008,61.97
8/28/2008,63.3
8/29/2008,64.63
8/30/2008,36.64
8/31/2008,65.54
9/1/2008,65.12
9/2/2008,64.7
9/3/2008,64.27
9/4/2008,63.85
9/5/2008,63.43
9/6/2008,63.01
9/7/2008,62.59
9/8/2008,62.17
9/9/2008,61.75
9/10/2008,61.32
9/11/2008,60.9
9/12/2008,60.48
9/13/2008,60.06
9/14/2008,59.64
9/15/2008,59.22
9/16/2008,58.79
9/17/2008,58.37
9/18/2008,57.95
9/19/2008,57.53
9/20/2008,57.11
9/21/2008,56.69
9/22/2008,56.27
9/23/2008,55.84
9/24/2008,55.42
9/25/2008,55
9/26/2008,32.16
9/27/2008,51.73
9/28/2008,48.87
9/29/2008,46.02
9/30/2008,43.17
10/1/2008,40.32
10/2/2008,37.46
10/3/2008,34.61
10/4/2008,31.76
10/5/2008,28.9
10/6/2008,26.05
10/7/2008,23.2
10/8/2008,20.35
10/9/2008,17.49
10/10/2008,33.41
10/11/2008,13.98
10/12/2008,13.32
10/13/2008,12.66
10/14/2008,12
10/15/2008,11.34
10/16/2008,10.69
10/17/2008,10.03
10/18/2008,9.37
10/19/2008,8.71
10/20/2008,8.05
10/21/2008,7.39
10/22/2008,6.73
10/23/2008,6.07
10/24/2008,5.41
10/25/2008,4.75
10/26/2008,4.09
10/27/2008,3.44
10/28/2008,2.78
10/29/2008,2.12
10/30/2008,1.46
10/31/2008,0.8
11/1/2008,13.26
