date,hour,T.d0,T.d1,T.d2,T.d3,T.d4,T.d5,T.d6,T.d7,T.d8,T.d9,T.d10,T.d11,T.d12,T.d13,T.d14,T.d15,T.d16,T.d17,T.d18,T.d19,T.d20,T.d21,T.d22,T.d23,T.d24,T.d25,T.d26,T.d27,T.d28,T.d29,T.d30,T.d31,T.d32,T.d33,T.d34,T.d35,T.d36,T.d37,T.d38,T.d39,T.d40,T.d41,T.d42,T.d43,T.d44,T.d45,T.d46,T.d47,T.d48,T.d49,T.d50,T.d51,T.d52,T.d53,T.d54,T.d55,T.d56,T.d57,T.d58,T.d59,T.d60,T.d61,T.d62,T.d63,T.d64,T.d65,T.d66,T.d67,T.d68,T.d69,T.d70,T.d71,T.d72,T.d73,T.d74,T.d75,T.d76,T.d77,T.d78,T.d79,T.d80,T.d81,T.d82,T.d83,T.d84,T.d85,T.d86,T.d87,T.d88,T.d89,T.d90,T.d91,T.d92,T.d93,T.d94,T.d95,T.d96,T.d97,T.d98,T.d99,T.d100
1/1/2008,1,-13.826,-13.372,-13.108,-12.847,-12.556,-12.244,-11.925,-11.609,-11.302,-11.006,-10.724,-10.455,-10.2,-9.959,-9.731,-9.517,-9.315,-9.126,-8.949,-8.783,-8.627,-8.482,-8.346,-8.218,-8.099,-7.986,-7.88,-7.78,-7.685,-7.596,-7.511,-7.431,-7.355,-7.283,-7.214,-7.148,-7.085,-7.025,-6.967,-6.911,-6.858,-6.806,-6.757,-6.709,-6.662,-6.617,-6.574,-6.532,-6.491,-6.451,-6.413,-6.375,-6.339,-6.304,-6.27,-6.236,-6.204,-6.173,-6.143,-6.113,-6.084,-6.056,-6.029,-6.003,-5.978,-5.953,-5.929,-5.906,-5.883,-5.861,-5.84,-5.819,-5.8,-5.78,-5.762,-5.744,-5.727,-5.71,-5.695,-5.68,-5.665,-5.651,-5.638,-5.626,-5.614,-5.603,-5.593,-5.583,-5.574,-5.566,-5.559,-5.552,-5.546,-5.541,-5.536,-5.532,-5.529,-5.527,-5.526,-5.525,-5.525
1/1/2008,2,-9.279,-9.798,-10.042,-10.208,-10.34,-10.439,-10.502,-10.527,-10.517,-10.476,-10.41,-10.323,-10.219,-10.101,-9.974,-9.839,-9.699,-9.556,-9.412,-9.268,-9.125,-8.984,-8.846,-8.712,-8.581,-8.455,-8.332,-8.213,-8.099,-7.989,-7.884,-7.783,-7.687,-7.595,-7.507,-7.423,-7.343,-7.267,-7.194,-7.124,-7.058,-6.994,-6.933,-6.875,-6.819,-6.765,-6.713,-6.664,-6.616,-6.57,-6.526,-6.484,-6.443,-6.403,-6.365,-6.328,-6.292,-6.258,-6.225,-6.192,-6.161,-6.131,-6.102,-6.074,-6.047,-6.02,-5.995,-5.97,-5.947,-5.924,-5.902,-5.88,-5.86,-5.84,-5.821,-5.803,-5.786,-5.769,-5.753,-5.738,-5.723,-5.71,-5.697,-5.684,-5.673,-5.662,-5.652,-5.642,-5.634,-5.626,-5.618,-5.612,-5.606,-5.601,-5.597,-5.593,-5.59,-5.588,-5.586,-5.586,-5.586
1/1/2008,3,-9.616,-9.284,-9.214,-9.203,-9.201,-9.204,-9.213,-9.229,-9.248,-9.268,-9.283,-9.293,-9.294,-9.286,-9.269,-9.241,-9.205,-9.159,-9.106,-9.044,-8.977,-8.903,-8.825,-8.743,-8.657,-8.569,-8.479,-8.387,-8.294,-8.201,-8.109,-8.018,-7.928,-7.839,-7.752,-7.668,-7.585,-7.505,-7.426,-7.351,-7.277,-7.206,-7.138,-7.072,-7.008,-6.947,-6.887,-6.83,-6.775,-6.723,-6.672,-6.623,-6.576,-6.53,-6.487,-6.445,-6.404,-6.366,-6.328,-6.292,-6.257,-6.224,-6.192,-6.161,-6.131,-6.102,-6.075,-6.048,-6.022,-5.998,-5.974,-5.951,-5.93,-5.909,-5.889,-5.869,-5.851,-5.834,-5.817,-5.801,-5.786,-5.772,-5.759,-5.746,-5.734,-5.723,-5.713,-5.703,-5.694,-5.686,-5.679,-5.672,-5.666,-5.661,-5.657,-5.653,-5.65,-5.648,-5.646,-5.646,-5.646
1/1/2008,4,-19.045,-17.896,-16.693,-15.614,-14.682,-13.878,-13.18,-12.573,-12.044,-11.583,-11.181,-10.832,-10.529,-10.265,-10.034,-9.831,-9.652,-9.493,-9.35,-9.221,-9.103,-8.993,-8.89,-8.793,-8.701,-8.611,-8.524,-8.439,-8.355,-8.273,-8.191,-8.111,-8.032,-7.953,-7.876,-7.8,-7.725,-7.651,-7.578,-7.506,-7.436,-7.368,-7.3,-7.235,-7.171,-7.108,-7.047,-6.988,-6.931,-6.875,-6.821,-6.768,-6.718,-6.669,-6.621,-6.575,-6.531,-6.488,-6.447,-6.408,-6.369,-6.332,-6.297,-6.263,-6.23,-6.198,-6.168,-6.139,-6.111,-6.084,-6.058,-6.033,-6.009,-5.987,-5.965,-5.945,-5.925,-5.906,-5.888,-5.871,-5.855,-5.84,-5.826,-5.813,-5.8,-5.788,-5.777,-5.767,-5.758,-5.749,-5.742,-5.735,-5.729,-5.723,-5.719,-5.715,-5.712,-5.709,-5.708,-5.707,-5.707
1/2/2008,1,-14.736,-14.989,-15.225,-15.302,-15.225,-15.034,-14.764,-14.443,-14.09,-13.718,-13.339,-12.96,-12.587,-12.226,-11.878,-11.547,-11.233,-10.938,-10.662,-10.405,-10.165,-9.943,-9.737,-9.545,-9.367,-9.202,-9.047,-8.902,-8.766,-8.638,-8.518,-8.405,-8.298,-8.197,-8.1,-8.008,-7.92,-7.835,-7.753,-7.675,-7.599,-7.526,-7.455,-7.386,-7.319,-7.255,-7.192,-7.131,-7.072,-7.014,-6.958,-6.904,-6.851,-6.8,-6.751,-6.703,-6.657,-6.612,-6.568,-6.526,-6.485,-6.446,-6.408,-6.371,-6.336,-6.302,-6.269,-6.238,-6.208,-6.178,-6.151,-6.124,-6.098,-6.074,-6.05,-6.028,-6.006,-5.986,-5.967,-5.949,-5.931,-5.915,-5.9,-5.885,-5.872,-5.859,-5.847,-5.836,-5.826,-5.817,-5.809,-5.802,-5.795,-5.789,-5.784,-5.78,-5.777,-5.774,-5.773,-5.772,-5.772
1/2/2008,2,-1.665,-3.109,-4.282,-5.348,-6.326,-7.203,-7.969,-8.621,-9.164,-9.605,-9.955,-10.222,-10.417,-10.549,-10.626,-10.656,-10.646,-10.604,-10.535,-10.444,-10.337,-10.216,-10.087,-9.951,-9.811,-9.668,-9.525,-9.382,-9.241,-9.102,-8.967,-8.836,-8.71,-8.588,-8.47,-8.357,-8.249,-8.145,-8.045,-7.949,-7.857,-7.769,-7.685,-7.604,-7.526,-7.451,-7.379,-7.31,-7.243,-7.179,-7.117,-7.058,-7,-6.945,-6.891,-6.839,-6.789,-6.741,-6.694,-6.649,-6.606,-6.564,-6.523,-6.484,-6.447,-6.411,-6.376,-6.342,-6.31,-6.279,-6.249,-6.22,-6.193,-6.166,-6.141,-6.117,-6.094,-6.072,-6.052,-6.032,-6.013,-5.996,-5.979,-5.964,-5.949,-5.935,-5.923,-5.911,-5.9,-5.89,-5.882,-5.874,-5.866,-5.86,-5.855,-5.851,-5.847,-5.844,-5.843,-5.842,-5.842
1/2/2008,3,-0.747,-0.988,-1.448,-1.946,-2.449,-2.959,-3.477,-3.999,-4.518,-5.025,-5.512,-5.974,-6.406,-6.803,-7.164,-7.489,-7.776,-8.026,-8.24,-8.421,-8.569,-8.687,-8.778,-8.843,-8.885,-8.907,-8.91,-8.898,-8.872,-8.834,-8.785,-8.729,-8.665,-8.596,-8.522,-8.445,-8.365,-8.284,-8.203,-8.12,-8.038,-7.957,-7.877,-7.798,-7.72,-7.644,-7.57,-7.498,-7.428,-7.359,-7.293,-7.229,-7.167,-7.107,-7.048,-6.992,-6.938,-6.886,-6.835,-6.786,-6.739,-6.694,-6.65,-6.608,-6.567,-6.528,-6.49,-6.454,-6.419,-6.386,-6.354,-6.323,-6.293,-6.265,-6.238,-6.213,-6.188,-6.165,-6.142,-6.121,-6.101,-6.082,-6.065,-6.048,-6.032,-6.018,-6.004,-5.991,-5.98,-5.969,-5.96,-5.951,-5.943,-5.937,-5.931,-5.926,-5.922,-5.92,-5.918,-5.917,-5.917
1/2/2008,4,-2.83,-3.121,-3.244,-3.372,-3.53,-3.708,-3.895,-4.087,-4.285,-4.489,-4.698,-4.914,-5.134,-5.358,-5.582,-5.805,-6.024,-6.238,-6.444,-6.641,-6.826,-6.999,-7.159,-7.305,-7.437,-7.554,-7.658,-7.747,-7.823,-7.885,-7.934,-7.971,-7.997,-8.012,-8.017,-8.013,-8.001,-7.982,-7.957,-7.925,-7.889,-7.849,-7.805,-7.757,-7.708,-7.656,-7.603,-7.549,-7.494,-7.439,-7.383,-7.328,-7.273,-7.218,-7.164,-7.112,-7.06,-7.009,-6.959,-6.91,-6.863,-6.817,-6.772,-6.729,-6.687,-6.646,-6.607,-6.569,-6.532,-6.497,-6.463,-6.431,-6.4,-6.37,-6.341,-6.314,-6.287,-6.262,-6.239,-6.216,-6.195,-6.175,-6.156,-6.138,-6.121,-6.105,-6.091,-6.077,-6.065,-6.054,-6.043,-6.034,-6.026,-6.019,-6.013,-6.008,-6.003,-6,-5.998,-5.997,-5.997
1/3/2008,1,3.621,3.048,2.475,1.908,1.35,0.801,0.268,-0.249,-0.749,-1.236,-1.724,-2.204,-2.658,-3.087,-3.492,-3.871,-4.226,-4.557,-4.865,-5.149,-5.412,-5.653,-5.874,-6.076,-6.259,-6.426,-6.577,-6.714,-6.836,-6.945,-7.041,-7.126,-7.199,-7.262,-7.315,-7.359,-7.395,-7.423,-7.444,-7.458,-7.466,-7.468,-7.465,-7.457,-7.444,-7.428,-7.408,-7.385,-7.359,-7.33,-7.299,-7.267,-7.232,-7.197,-7.16,-7.122,-7.084,-7.045,-7.005,-6.966,-6.927,-6.888,-6.849,-6.811,-6.773,-6.736,-6.7,-6.664,-6.629,-6.595,-6.562,-6.53,-6.499,-6.47,-6.441,-6.413,-6.386,-6.361,-6.337,-6.313,-6.291,-6.27,-6.25,-6.232,-6.214,-6.198,-6.182,-6.168,-6.155,-6.143,-6.132,-6.122,-6.114,-6.106,-6.1,-6.094,-6.09,-6.087,-6.085,-6.083,-6.083
1/3/2008,2,4.125,3.635,3.15,2.671,2.199,1.735,1.281,0.839,0.407,-0.013,-0.418,-0.819,-1.195,-1.582,-1.967,-2.335,-2.686,-3.021,-3.34,-3.643,-3.931,-4.203,-4.46,-4.702,-4.929,-5.143,-5.343,-5.531,-5.705,-5.867,-6.016,-6.154,-6.279,-6.393,-6.497,-6.59,-6.673,-6.748,-6.813,-6.87,-6.92,-6.962,-6.997,-7.026,-7.049,-7.066,-7.078,-7.086,-7.089,-7.088,-7.083,-7.075,-7.064,-7.05,-7.034,-7.016,-6.995,-6.974,-6.95,-6.926,-6.9,-6.873,-6.846,-6.819,-6.791,-6.762,-6.734,-6.705,-6.677,-6.649,-6.621,-6.594,-6.567,-6.541,-6.515,-6.49,-6.466,-6.443,-6.42,-6.398,-6.377,-6.357,-6.338,-6.32,-6.303,-6.287,-6.272,-6.258,-6.245,-6.233,-6.222,-6.213,-6.204,-6.196,-6.19,-6.184,-6.18,-6.177,-6.174,-6.173,-6.173
