Year,Day,Hour,ACN 3,ACN 10,ACN 20,AHN 3,AHN 10,AHN 20,ECN 3,ECN 10,ECN 20
2008,207,100,617.096659,898.9092354,,611.965947,985.7878354,1047.728451,795.0019249,1251.381095,2227.721629
2008,207,200,622.7394343,900.174506,,617.6267773,981.3891902,1031.582698,790.2513944,1225.319048,2196.517754
2008,207,300,632.9824004,899.5880349,,622.6411744,980.636162,1018.43067,786.0055505,1203.416123,2160.303634
2008,207,400,634.904277,900.6313303,,624.6330911,977.2581448,1007.402731,780.0132066,1185.67785,2124.119553
2008,207,500,641.5899607,895.3062153,,626.5475514,975.6690533,991.5343124,774.1453363,1168.402141,2087.263004
2008,207,600,643.857054,887.9009069,,628.2335522,973.503824,977.9474382,803.2559597,1171.105123,2051.576869
2008,207,700,681.5508248,895.9727333,,651.3265737,977.2448497,964.9908299,1247.354265,1380.140154,2052.490755
2008,207,800,640.7719103,864.5427893,,630.042984,962.6787703,949.0300647,1256.968189,1378.834603,2033.454513
2008,207,900,632.5298015,836.2137062,,627.8029258,946.6285779,933.2770109,1202.577822,1371.426214,
2008,207,1000,636.41731,811.567848,,621.2350891,920.0317782,919.6070411,1171.000869,1373.316222,
2008,207,1100,633.889928,800.4050464,,624.2562979,913.9881627,917.6035696,1179.909258,1390.777668,
2008,207,1200,603.7609749,790.9081714,,607.2748021,914.3158404,919.3865586,1223.400133,1427.580036,
2008,207,1300,611.6641302,804.9932979,,622.3085946,927.207753,933.6029247,1256.487671,1474.536557,
2008,207,1400,607.8342144,825.8441341,,605.9267439,950.3086173,946.5226385,1201.193369,1508.856562,
2008,207,1500,588.0140895,816.8762059,,586.6316352,939.8317631,965.4243865,1184.007724,1523.000424,
2008,207,1600,623.1652666,856.7352455,,593.8999042,973.8747437,980.9105725,1260.677517,1587.009534,2257.201672
2008,207,1700,575.4555123,847.0679433,,568.8662482,950.7294527,993.0823339,1198.431652,1583.496604,
2008,207,1800,563.7645537,826.1835009,,562.0999409,939.9303705,998.1982685,1174.07069,1570.423721,2316.913469
2008,207,1900,578.5575341,847.7667513,,580.2233395,956.8232473,1010.502146,1203.127843,1643.564973,2355.460494
2008,207,2000,586.7399572,867.3684551,,593.951447,973.7464659,1017.80291,1263.452583,1635.241461,2385.350762
2008,207,2100,579.2768902,869.5601956,,593.3172479,973.8588159,1019.729589,1237.884243,1589.626427,2392.474978
