date,PHACE_mean_atmospheric pressure_hPa_gap-filled
1/1/2008,819.2208333
1/2/2008,814.3145833
1/3/2008,805.0229167
1/4/2008,800.14375
1/5/2008,793.29375
1/6/2008,794.7916667
1/7/2008,798.05
1/8/2008,802.3979167
1/9/2008,798.2833333
1/10/2008,800.2583333
1/11/2008,799.4145833
1/12/2008,805.6208333
1/13/2008,809.4
1/14/2008,810.75
1/15/2008,798.9208333
1/16/2008,804.7729167
1/17/2008,799.4041667
1/18/2008,805.68125
1/19/2008,804.6645833
1/20/2008,801.0833333
1/21/2008,803.3041667
1/22/2008,804.8520833
1/23/2008,805.3979167
1/24/2008,802.30625
1/25/2008,803.6583333
1/26/2008,807.3770833
1/27/2008,800.4229167
1/28/2008,787.6354167
1/29/2008,794.1604167
1/30/2008,795.23125
1/31/2008,801.53125
2/1/2008,797.4416667
2/2/2008,800.9458333
2/3/2008,791.9625
2/4/2008,795.7479167
2/5/2008,803.3479167
2/6/2008,798.325
2/7/2008,797.0333333
2/8/2008,798.7375
2/9/2008,804.7229167
2/10/2008,807.11875
2/11/2008,803.4958333
2/12/2008,805.4916667
2/13/2008,794.8958333
2/14/2008,802.5083333
2/15/2008,807.65625
2/16/2008,800.0958333
2/17/2008,802.4458333
2/18/2008,803.04375
2/19/2008,804.3145833
2/20/2008,801.64375
2/21/2008,800.3208333
2/22/2008,799.8166667
2/23/2008,801.9458333
2/24/2008,801.78125
2/25/2008,805.5416667
2/26/2008,812.63125
2/27/2008,807.1916667
2/28/2008,803.55
2/29/2008,809.8875
3/1/2008,800.9666667
3/2/2008,803.125
3/3/2008,806.2833333
3/4/2008,798.5041667
3/5/2008,805.675
3/6/2008,806.7333333
3/7/2008,806.1520833
3/8/2008,803.48125
3/9/2008,810.1020833
3/10/2008,812.8645833
3/11/2008,807.8229167
3/12/2008,802.46875
3/13/2008,798.8979167
3/14/2008,796.70625
3/15/2008,799.3458333
3/16/2008,799.5604167
3/17/2008,802.4166667
3/18/2008,805.63125
3/19/2008,805.4104167
3/20/2008,803.5916667
3/21/2008,808.93125
3/22/2008,814.9875
3/23/2008,812.38125
3/24/2008,803.8979167
3/25/2008,804.6604167
3/26/2008,801.56875
3/27/2008,801.6916667
3/28/2008,804.85
3/29/2008,798.9083333
3/30/2008,802.1604167
3/31/2008,801.8729167
4/1/2008,809.1083333
4/2/2008,804.7395833
4/3/2008,804.8645833
4/4/2008,804.4020833
4/5/2008,796.99375
4/6/2008,801.85625
4/7/2008,801.7729167
4/8/2008,802.375
4/9/2008,796.0708333
4/10/2008,796.3
4/11/2008,807.3520833
4/12/2008,812.88125
4/13/2008,814.0229167
4/14/2008,806.8916667
4/15/2008,794.90625
4/16/2008,802.6479167
4/17/2008,807.0395833
4/18/2008,804.4229167
4/19/2008,800.625
4/20/2008,795.2333333
4/21/2008,804.2666667
4/22/2008,807.21875
