DOY,atmCO2
91.25,356
91.50,356
91.75,356
92.00,356
92.25,356
92.50,356
92.75,356
93.00,356
93.25,356
93.50,356
93.75,356
94.00,356
94.25,356
94.50,356
94.75,356
95.00,356
95.25,356
95.50,356
95.75,356
96.00,356
96.25,356
96.50,356
96.75,356
97.00,356
97.25,356
97.50,356
97.75,356
98.00,356
98.25,356
98.50,356
98.75,356
99.00,356
99.25,356
99.50,356
99.75,356
100.00,356
100.25,356
100.50,356
100.75,356
101.00,356
101.25,356
101.50,356
101.75,356
102.00,356
102.25,356
102.50,356
102.75,356
103.00,356
103.25,356
103.50,356
103.75,356
104.00,356
104.25,356
104.50,356
104.75,356
105.00,356
105.25,356
105.50,356
105.75,356
106.00,356
106.25,356
106.50,356
106.75,356
107.00,356
107.25,356
107.50,356
107.75,356
108.00,356
108.25,356
108.50,356
108.75,356
109.00,356
109.25,356
109.50,356
109.75,356
110.00,356
110.25,356
110.50,356
110.75,356
111.00,356
111.25,356
111.50,356
111.75,356
112.00,356
112.25,356
112.50,356
112.75,356
113.00,356
113.25,356
113.50,356
113.75,356
114.00,356
114.25,356
114.50,356
114.75,356
115.00,356
115.25,356
115.50,356
115.75,356
116.00,356
116.25,356
116.50,356
116.75,356
117.00,356
117.25,356
117.50,356
117.75,356
118.00,356
118.25,356
118.50,356
118.75,356
119.00,356
119.25,356
119.50,356
119.75,356
120.00,356
120.25,356
120.50,356
120.75,356
121.00,356
121.25,356
121.50,356
121.75,356
122.00,356
122.25,356
122.50,356
122.75,356
123.00,356
123.25,356
123.50,356
123.75,356
124.00,356
124.25,356
124.50,356
124.75,356
125.00,356
125.25,356
125.50,356
125.75,356
126.00,356
126.25,356
126.50,356
126.75,356
127.00,356
127.25,356
127.50,356
127.75,356
128.00,356
128.25,356
128.50,356
128.75,356
129.00,356
129.25,356
129.50,356
129.75,356
130.00,356
130.25,356
130.50,356
130.75,356
131.00,356
131.25,356
131.50,356
131.75,356
132.00,356
132.25,356
132.50,356
132.75,356
133.00,356
133.25,356
133.50,356
133.75,356
134.00,356
134.25,356
134.50,356
134.75,356
135.00,356
135.25,356
135.50,356
135.75,356
136.00,356
136.25,356
136.50,356
136.75,356
137.00,356
137.25,356
137.50,356
137.75,356
138.00,356
138.25,356
138.50,356
138.75,356
139.00,356
139.25,356
139.50,356
139.75,356
140.00,356
140.25,356
140.50,356
140.75,356
141.00,356
141.25,356
141.50,356
141.75,356
142.00,356
142.25,356
142.50,356
142.75,356
143.00,356
143.25,356
143.50,356
143.75,356
144.00,356
144.25,356
144.50,356
144.75,356
145.00,356
145.25,356
145.50,356
145.75,356
146.00,356
146.25,356
146.50,356
146.75,356
147.00,356
147.25,356
147.50,356
147.75,356
148.00,356
148.25,356
148.50,356
148.75,356
149.00,356
149.25,356
149.50,356
149.75,356
150.00,356
150.25,356
150.50,356
150.75,356
151.00,356
151.25,356
151.50,356
151.75,356
152.00,356
152.25,356
152.50,356
152.75,356
153.00,356
153.25,356
153.50,356
153.75,356
154.00,356
154.25,356
154.50,356
154.75,356
155.00,356
155.25,356
155.50,356
155.75,356
156.00,356
156.25,356
156.50,356
156.75,356
157.00,356
157.25,356
157.50,356
157.75,356
158.00,356
158.25,356
158.50,356
158.75,356
159.00,356
159.25,356
159.50,356
159.75,356
160.00,356
160.25,356
160.50,356
160.75,356
161.00,356
161.25,356
161.50,356
161.75,356
162.00,356
162.25,356
162.50,356
162.75,356
163.00,356
163.25,356
163.50,356
163.75,356
164.00,356
164.25,356
164.50,356
164.75,356
165.00,356
165.25,356
165.50,356
165.75,356
166.00,356
166.25,356
166.50,356
166.75,356
167.00,356
167.25,356
167.50,356
167.75,356
168.00,356
168.25,356
168.50,356
168.75,356
169.00,356
169.25,356
169.50,356
169.75,356
170.00,356
170.25,356
170.50,356
170.75,356
171.00,356
171.25,356
171.50,356
171.75,356
172.00,356
172.25,356
172.50,356
172.75,356
173.00,356
173.25,356
173.50,356
173.75,356
174.00,356
174.25,356
174.50,356
174.75,356
175.00,356
175.25,356
175.50,356
175.75,356
176.00,356
176.25,356
176.50,356
176.75,356
177.00,356
177.25,356
177.50,356
177.75,356
178.00,356
178.25,356
178.50,356
178.75,356
179.00,356
179.25,356
179.50,356
179.75,356
180.00,356
180.25,356
180.50,356
180.75,356
181.00,356
181.25,356
181.50,356
181.75,356
182.00,356
182.25,356
182.50,356
182.75,357
183.00,358
183.25,359
183.50,360
183.75,361
184.00,362
184.25,363
184.50,364
184.75,365
185.00,366
185.25,367
185.50,368
185.75,369
186.00,370
186.25,371
186.50,372
