Year,DoY,ACN 3,ACN 10,ACN 20,AHN 3,AHN 10,AHN 20,ECN 3,ECN 10,ECN 20
2008,207,643.9922094,874.8150595,-9999,630.5037441,974.7768655,984.1821056,1096.957621,1441.114134,-9999
2008,208,866.1895433,1034.161851,-9999,741.7411517,1140.894792,1038.805928,1353.916604,1692.465257,2370.135072
2008,209,676.5091268,913.360925,-9999,654.1869057,1003.128521,979.199416,1027.97486,1380.318809,2244.512421
2008,210,627.7793141,867.2509938,-9999,645.3937385,976.5119511,938.4595212,890.9179363,1217.428271,-9999
2008,211,590.9115783,831.9591283,-9999,600.3222926,932.3159053,913.0578635,902.1441001,1227.253122,2036.409289
2008,212,555.5700956,814.9102241,-9999,594.3316064,909.1494673,898.4322592,750.4970858,1102.917607,-9999
2008,213,555.9019583,824.6959122,-9999,605.6268947,910.5656695,943.6284963,885.7088298,1208.904008,-9999
2008,214,548.1277328,829.4890397,-9999,583.2772427,896.7213194,970.6094429,830.2187099,1180.048447,-9999
2008,215,561.7921237,822.7420677,-9999,592.1747149,900.3134931,950.8428372,783.7951765,1101.09547,-9999
2008,216,765.3324854,894.0300093,-9999,726.2607757,980.564554,922.3255672,971.4344043,1229.542763,1936.064477
2008,217,866.0125218,880.4293886,-9999,736.097423,991.0099124,884.2239143,960.0300607,1195.27298,-9999
2008,218,1178.656282,1715.45551,-9999,1111.140261,1826.415592,2024.446742,1171.70228,1469.311682,-9999
2008,219,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2008,220,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2008,221,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6555.667776,-9999
2008,222,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7780.814991,-9999
2008,223,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6665.651797,-9999
2008,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2008,225,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2008,226,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5653.820135,-9999
2008,227,4295.630024,7644.840202,-9999,-9999,-9999,-9999,-9999,5516.99756,-9999
2008,228,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7122.996854,-9999
2008,229,-9999,-9999,9741.346806,-9999,-9999,-9999,-9999,-9999,-9999
2008,230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2008,231,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5331.390694,-9999
2008,232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5691.079402,-9999
2008,233,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6274.550553,-9999
2008,234,4462.138452,-9999,-9999,-9999,-9999,-9999,-9999,7041.658553,-9999
2008,235,3376.173761,7225.377108,-9999,3511.731467,-9999,-9999,3941.661299,5233.597126,-9999
2008,236,2816.62291,6421.312552,10339.33124,2841.933808,-9999,-9999,3432.237677,4856.752341,-9999
2008,237,2629.144733,6125.02972,9573.432789,2697.313786,-9999,-9999,3122.884008,4746.891086,-9999
2008,238,2331.635538,5587.298052,8529.003342,2405.784781,7375.96486,-9999,2745.930178,4994.00015,-9999
2008,239,2078.865179,5008.553333,7536.424609,2210.976324,6512.603615,10754.42646,2293.240557,4097.613011,9713.929626
2008,240,1861.17801,4522.477303,6698.93022,2009.938323,5838.66269,9470.495809,2140.870719,3690.80922,8907.801862
2008,241,1713.747394,4074.988684,6024.356759,1908.72916,5282.753106,8246.283974,1977.398282,3459.271451,8307.436797
2008,242,1665.443535,3815.802457,5611.954708,1847.422128,4906.771629,7292.854011,1999.68502,3409.479764,8039.820821
2008,243,1659.358728,3786.981828,5433.869177,1789.740461,4791.029871,6885.273455,2004.09827,3500.18862,8200.072499
2008,244,1563.777236,3551.356934,5012.826102,1755.294406,4399.803553,6179.658546,1835.287397,3325.272874,7776.754845
2008,245,1944.028013,3727.873733,4757.349954,2247.784459,4581.619216,6846.060573,2000.841238,3690.048828,7381.045587
2008,246,2617.42395,4429.514805,4720.007345,3328.129153,5478.653302,7812.222301,2503.709038,3648.044726,6719.341076
2008,247,1975.316358,3783.138672,4294.29746,2082.537474,4438.969369,6706.005283,2374.186065,3150.874956,6466.722932
2008,248,1743.847142,3446.469849,4009.052168,1969.588935,4181.983873,6229.684673,1984.103101,2949.88707,6091.975344
2008,249,2130.167377,3627.646652,3905.911027,2225.94587,4298.925972,5982.48264,2289.723909,3380.236736,5900.979107
2008,250,1862.419294,3323.135157,3729.16859,1919.445277,3837.43416,5409.422983,2125.465953,2876.216845,5648.466238
2008,251,1738.253598,3205.320623,3671.729321,1817.265366,3677.715061,5223.062922,2042.044335,2904.301572,5643.19994
2008,252,1553.515094,2987.648538,3365.51233,1556.644987,3426.147427,4804.038339,1882.269125,3066.442318,5285.948174
2008,253,1502.991101,2859.482653,3319.971204,1452.500681,3290.531265,4626.781159,1821.916055,2620.713833,5094.387753
2008,254,1428.801654,2808.172239,3359.537497,1543.048333,3273.372996,4699.240587,1644.816428,2451.668678,5111.942417
2008,255,1289.427844,2604.859146,3135.802087,1473.845785,3127.834501,4492.652889,1477.966198,2342.91397,4813.301218
2008,256,2543.224972,4134.651596,3513.981376,3168.144441,5207.053132,5059.010471,2663.611666,4194.980859,5169.212755
2008,257,2875.727746,5182.778521,5080.177016,4045.370321,6942.459301,6899.268419,3013.635431,4694.561086,6391.912359
2008,258,2692.475264,5256.191307,5578.139629,3192.797908,6612.935066,6977.366436,2952.459635,3546.35648,6931.075833
2008,259,2384.015179,4939.606364,5379.505756,2608.670704,5892.660745,6500.413103,2731.98825,3424.260726,7003.817955
2008,260,2165.061148,4663.674766,5184.088052,2369.276997,5476.748145,6259.294469,2469.53409,3359.776098,6963.339681
2008,261,1983.215914,4404.926295,4946.253414,2118.56748,5037.612185,6066.549124,2376.797591,3386.057224,6959.93388
2008,262,1779.085067,4085.157783,4653.684959,1944.767163,4577.358449,5832.361039,2050.866149,3205.597988,6793.544135
2008,263,1634.636841,3786.511311,4322.010785,1801.070616,4166.851826,5531.612026,1841.028944,3237.270846,6442.015918
2008,264,1529.017397,3452.052956,3938.388112,1564.625794,3658.499087,4999.874781,1848.204053,3408.687034,6104.698983
2008,265,1600.162958,3419.27507,3855.58157,1684.561505,3600.200769,4798.352176,1890.877777,3487.388252,5882.75838
2008,266,1564.117698,3221.295844,3721.874537,1760.792735,3455.74629,4560.158203,1783.372452,2861.675974,5567.260678
2008,267,1374.372823,2881.821803,3395.703157,1530.44725,3162.40629,4209.880791,1471.274625,2382.326984,4979.003982
2008,268,1335.809721,2719.792574,3217.136765,1363.519434,2910.896279,3935.592978,1563.260728,2457.25275,4962.022385
2008,269,1265.984905,2598.09304,3135.45736,1324.12076,2806.399282,3830.598855,1486.944943,2396.724358,4935.665737
2008,270,1200.404398,2519.451502,3104.257064,1337.513799,2766.12218,3828.7667,1391.876743,2319.987927,4897.517443
2008,271,1156.158215,2398.898142,2960.823419,1197.981337,2616.474671,3656.005047,1456.539596,2328.527423,4770.493716
2008,272,1097.119689,2294.134481,2904.121004,1229.892935,2576.837269,3598.176482,1271.931578,2172.633255,4610.018881
2008,273,1072.051844,2135.915708,2685.520041,1077.591322,2371.052134,3319.713409,1360.976411,2121.471122,4340.841983
2008,274,1017.273339,1993.857887,2575.898895,1084.824506,2257.845389,3123.085691,1235.253301,2003.445836,4131.03204
2008,275,998.838871,1927.722486,2532.729228,1060.070944,2169.778547,3007.961484,1324.870129,2012.082868,4060.108705
2008,276,942.9522736,1861.624485,2493.787158,1035.006899,2116.311303,2919.744753,1158.574735,1882.403427,3901.046631
2008,277,914.427529,1761.430477,2403.278387,980.2593451,2006.127499,2756.175856,1153.239316,1797.815377,3686.394467
2008,278,899.5487519,1708.611708,2319.864292,940.6388964,1940.397104,2622.090485,1164.830469,1835.944298,3557.570176
2008,279,930.6825446,1709.258356,2268.467375,1035.163393,1978.665107,2564.76415,1090.462226,1886.878078,3391.134405
2008,280,1156.889416,1829.100522,2227.465569,1322.374066,2201.015026,2563.89751,1207.048786,1913.504623,3176.475692
2008,281,1028.79917,1631.257362,2088.103481,1073.089041,1922.566193,2306.54432,1095.170572,1619.268117,2941.551964
2008,282,947.5986352,1581.856258,2083.233848,1018.032501,1868.809961,2312.92232,1064.843711,1568.380468,2956.754802
2008,283,889.1569727,1458.300996,1919.633391,858.1798352,1698.496294,2136.024068,1071.520831,1550.131887,2837.683483
2008,284,836.3221249,1334.26009,1784.434468,840.3756956,1614.916494,1972.216034,957.0172012,1431.9116,2630.39283
2008,285,860.2665988,1258.045831,1617.351093,790.811193,1521.84362,1740.070109,1033.133019,1474.094096,2402.665413
2008,286,1293.013111,1728.512733,1718.871296,1440.649163,2132.774926,1863.820083,1222.833547,1811.977099,2440.034899
2008,287,1200.438013,1802.36378,1867.385186,1345.464187,2212.47922,1975.615356,1130.446551,1775.465312,2479.911035
2008,288,1099.64859,1766.108058,1880.32328,1176.443003,2106.20253,1942.835698,1094.348366,1597.624965,2445.933058
2008,289,1058.132045,1749.992804,1908.729507,1075.61371,2027.375368,1951.5475,1078.386719,1538.128842,2488.374822
2008,290,1010.991184,1720.785963,1901.708382,1076.496666,1961.21868,1907.938395,1015.211351,1469.773364,2465.600448
2008,291,1010.656391,1754.41539,1974.31489,1084.904946,2002.044356,2014.928907,959.6242178,1460.55889,2489.109946
2008,292,981.5172623,1713.270726,1963.778105,1008.867862,1898.956254,1999.202965,957.3860887,1453.18239,2515.258471
2008,293,935.910954,1664.564528,1935.394124,965.5846607,1832.257901,1974.808032,884.281758,1396.061414,2474.8469
2008,294,937.5493956,1619.11876,1842.46693,849.1991549,1740.113512,1868.21251,966.0810122,1568.492862,2438.976646
2008,295,1079.756583,1612.519096,1771.398086,946.5767442,1753.544776,1771.722274,1095.7885,1626.968013,2324.198047
2008,296,1049.007097,1548.88696,1651.93491,959.8541727,1713.310839,1633.798395,926.2293225,1433.428046,2060.078871
2008,297,945.8078741,1436.46615,1544.796908,892.0157909,1603.922223,1478.136313,904.7289162,1292.097094,1871.000171
2008,298,908.0209814,1410.499141,1557.587217,858.5757443,1569.524274,1484.823405,932.6688652,1242.140213,1904.920431
2008,299,880.9907538,1463.130755,1616.968727,890.0262993,1611.795285,1530.759526,859.0733289,1191.601362,1958.908689
2008,300,896.3720831,1459.34308,1647.110192,834.4914776,1596.586933,1599.340807,885.4083892,1233.714386,1996.877669
2008,301,859.7458488,1295.378702,1454.83603,738.376985,1373.555604,1351.656255,1201.420351,1383.483937,1925.810235
2008,302,830.4697707,1301.460188,1493.490244,755.1888718,1384.543582,1366.377311,869.0503051,1204.184358,1961.994155
