Year,Month,Date,Precip (mm),
2007,1,1,0,
2007,1,2,0,
2007,1,3,0,
2007,1,4,0,
2007,1,5,0,
2007,1,6,0,
2007,1,7,0,
2007,1,8,0,
2007,1,9,0,
2007,1,10,0,
2007,1,11,0,
2007,1,12,0,
2007,1,13,0.399999972,
2007,1,14,0,
2007,1,15,0,
2007,1,16,0,
2007,1,17,0,
2007,1,18,0,
2007,1,19,0,
2007,1,20,0,
2007,1,21,0,
2007,1,22,0,
2007,1,23,0,
2007,1,24,0,
2007,1,25,0,
2007,1,26,15.49,
2007,1,27,0,
2007,1,28,0,
2007,1,29,0,
2007,1,30,0,
2007,1,31,0,
2007,2,1,0,
2007,2,2,0,
2007,2,3,0,
2007,2,4,0,
2007,2,5,0,
2007,2,6,0,
2007,2,7,0,
2007,2,8,0,
2007,2,9,0,
2007,2,10,0,
2007,2,11,0,
2007,2,12,0,
2007,2,13,0,
2007,2,14,0,
2007,2,15,0.599999958,
2007,2,16,0,
2007,2,17,0,
2007,2,18,0,
2007,2,19,0,
2007,2,20,0,
2007,2,21,0,
2007,2,22,0,
2007,2,23,0,
2007,2,24,0,
2007,2,25,0,
2007,2,26,0,
2007,2,27,0,
2007,2,28,0,
2007,3,1,0,
2007,3,2,0,
2007,3,3,0,
2007,3,4,0,
2007,3,5,0,
2007,3,6,0,
2007,3,7,0,
2007,3,8,0,
2007,3,9,0,
2007,3,10,4.199999711,
2007,3,11,0,
2007,3,12,0,
2007,3,13,0,
2007,3,14,0,
2007,3,15,0,
2007,3,16,0,
2007,3,17,0,
2007,3,18,0,
2007,3,19,0,
2007,3,20,0,
2007,3,21,2.199999849,
2007,3,22,0,
2007,3,23,10.60299927,
2007,3,24,15.39999894,
2007,3,25,0,
2007,3,26,2.799999807,
2007,3,27,0.999999931,
2007,3,28,0,
2007,3,29,0,
2007,3,30,0,
2007,3,31,0,
2007,4,1,0,
2007,4,2,0.199999986,
2007,4,3,0,
2007,4,4,0,
2007,4,5,0,
2007,4,6,0,
2007,4,7,0,
2007,4,8,0,
2007,4,9,0.99999993,
2007,4,10,1.199999917,
2007,4,11,0,
2007,4,12,0,
2007,4,13,0,
2007,4,14,0,
2007,4,15,0,
2007,4,16,0,
2007,4,17,0,
2007,4,18,1.199999917,
2007,4,19,0,
2007,4,20,0,
2007,4,21,0,
2007,4,22,1.799999875,
2007,4,23,25.20599826,
2007,4,24,9.799999321,
2007,4,25,0,
2007,4,26,0,
2007,4,27,0,
2007,4,28,0,
2007,4,29,0,
2007,4,30,5.200999642,
2007,5,1,0,
2007,5,2,0,
2007,5,3,20.60499858,
2007,5,4,5.399999626,
2007,5,5,10.79999925,
2007,5,6,0,
2007,5,7,0,
2007,5,8,0,
2007,5,9,0,
2007,5,10,0,
2007,5,11,0,
2007,5,12,0,
2007,5,13,0,
2007,5,14,0.199999986,
2007,5,15,0,
2007,5,16,0,
2007,5,17,0,
2007,5,18,0,
2007,5,19,0,
2007,5,20,0,
2007,5,21,0,
2007,5,22,0.199999986,
2007,5,23,0,
2007,5,24,0,
2007,5,25,0,
2007,5,26,0.999999931,
2007,5,27,0,
2007,5,28,0,
